configuration,checkpoint,sparsity,accuracy,avg_jacobian_norm,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11,layer_12,layer_13,layer_14,layer_15,layer_16,layer_17,layer_18
smooth_no_rewind,/project/nr_haml2025/endomet/irwl1-adaptation/models/smooth_no_rewind/3/checkpoint_spar71.82.pth,71.81653816269201,73.63,61.16568359375,2068.45954467075,9.037622054840545,8.78905979329263,19.56168067366745,14.601735453283851,9.45962946202179,7.560591784718659,12.8788301460412,4.179710338235131,9.853304482730866,7.516085279169704,8.738156949338574,6.538116476936017,8.591604309687677,4.419885599074345,6.769692399718645,5.024239128222797,7.002229456132504,4.45507644765833
smooth_no_rewind,/project/nr_haml2025/endomet/irwl1-adaptation/models/smooth_no_rewind/3/checkpoint_spar79.55.pth,79.55143147450839,71.24,52.6309421875,253.43064884486557,6.023326190891904,7.6662088196486575,26.842006522298973,12.24608888108918,7.111193557683707,11.843292813257023,9.316343070585098,5.484609917097907,10.242236278253683,4.647000578816139,9.892850032579103,4.397925496223036,7.417294325611818,3.729249302910105,6.125868434168949,4.900443405561783,6.958760686010306,4.409967960932422
smooth_no_rewind,/project/nr_haml2025/endomet/irwl1-adaptation/models/smooth_no_rewind/3/checkpoint_spar85.12.pth,85.11819377203993,71.3,56.14700234375,3148.578729947958,7.9478936528886726,4.372991720109788,35.36958867555533,18.39437678738224,7.360174745727138,9.03084286856697,8.896908747708078,4.482687258309698,9.028122359341587,4.375077691727054,7.026746877562885,5.113275959380659,8.102262045464446,3.6479487190643103,6.052746435736791,3.8669807857590133,5.640789804713677,3.902322683034932
smooth_no_rewind,/project/nr_haml2025/endomet/irwl1-adaptation/models/smooth_no_rewind/3/checkpoint_spar89.20.pth,89.19707429322814,72.69,74.0738875,1931.2170607668982,69.20574117232081,44.21318243030543,132.17591103608558,42.609409987962295,48.82893014261571,7.249291406813466,69.05985222692463,6.897489071705142,50.14499253923697,6.756281904859222,32.01543176024155,3.1241312444845475,48.1890269137918,6.869798638242969,31.65415988719277,5.2374069604225,29.41759551671372,6.935525051140985
smooth_no_rewind,/project/nr_haml2025/endomet/irwl1-adaptation/models/smooth_no_rewind/3/checkpoint_spar92.20.pth,92.19749267826191,69.89,52.1386703125,11033.402753621758,8.24547119722997,10.92943570191725,28.175065009134567,21.148143272805164,10.681000123812696,12.72996592843289,21.982688551909355,4.614953008872866,10.564904393887309,9.900530462151746,8.283135326335023,4.661764940418905,10.906478757138688,4.386478721108796,7.237857345595335,5.756283679200936,6.991352091652485,5.027642306519293
smooth_no_rewind,/project/nr_haml2025/endomet/irwl1-adaptation/models/smooth_no_rewind/4/checkpoint_spar0.00.pth,0.0,72.87,24.69615078125,4.471682379943629,1.9240410724190027,1.9920157194125807,1.8593067706650193,1.9385539730459693,1.8369021366561307,1.734383533439726,2.6934460287047117,1.9275685774402487,1.9192427604819895,1.991050809291863,2.022589584520088,1.9115098646556656,2.8287216143572893,2.453177879921412,2.40075028460719,2.733391761273372,2.5219507458428585,3.3078037169969607
smooth_no_rewind,/project/nr_haml2025/endomet/irwl1-adaptation/models/smooth_no_rewind/4/checkpoint_spar27.28.pth,27.284307572769112,73.18,48.38683984375,39.582320634213026,3.3485254957741355,2.945806486405304,2.5687908641762087,2.3796301173462906,2.7599888890960047,2.868943119335256,4.02476478661542,2.4441535501691103,2.8777845604753503,2.5946883833533456,3.27320157623027,2.412702190451234,3.2588949269555285,2.343783362170384,2.465276850220364,2.31658161426659,2.745599509715796,2.306208293062376
smooth_no_rewind,/project/nr_haml2025/endomet/irwl1-adaptation/models/smooth_no_rewind/4/checkpoint_spar47.09.pth,47.0914768991692,72.33,48.87547734375,65.12942664537033,5.264425591021588,3.3091833370045443,5.416482202037167,4.427303447117879,5.772283657755154,4.570636433326137,6.896955358143006,3.480525745473323,5.2464017172471555,3.519257351531135,5.119559078134306,3.942331580785451,4.861885180735663,2.883536944021373,3.7543502226542573,2.945108064070763,3.9085986618608533,2.8737551481708663
smooth_no_rewind,/project/nr_haml2025/endomet/irwl1-adaptation/models/smooth_no_rewind/4/checkpoint_spar61.53.pth,61.53435239973702,71.12,55.86238046875,101.44288733987288,7.073777089538165,4.799991346698144,4.400864886701679,3.7114659333715103,4.235293944809211,4.61643635988168,6.072095166536528,3.7481426229582158,5.735350342420121,3.6055421432959354,6.671476864769124,3.3538932895544096,5.5150068547687825,3.124296456993808,3.916343984864609,3.5284929829776437,4.583292542031522,2.853510909865487
smooth_no_rewind,/project/nr_haml2025/endomet/irwl1-adaptation/models/smooth_no_rewind/4/checkpoint_spar71.95.pth,71.95475464706233,69.65,46.17408828125,239.21872402163882,4.814943611830071,4.462816506927972,4.394591046285228,3.316247947828326,4.094646848811045,7.589314334192791,6.111566409362902,3.419050953862542,6.033019652805003,3.373183345841844,6.443418946560484,3.789593979969023,4.870787701222742,2.933974660045285,4.018868590590426,3.025860208146797,3.9503220167026663,3.080883023559665
